epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,40.3241,0.71793,0.84781,1.1557,0.91069,0.38333,0.42482,0.30031,1.72869,2.46147,1.45818,2.40891e-05,2.40891e-05,2.40891e-05
75,40.9204,0.79569,0.77619,1.2898,0.89467,0.4,0.429,0.30178,1.75678,2.47006,1.46821,2.35472e-05,2.35472e-05,2.35472e-05
76,41.4986,0.61859,0.68571,1.07384,0.89467,0.4,0.429,0.30178,1.75678,2.47006,1.46821,2.29819e-05,2.29819e-05,2.29819e-05
77,42.0579,0.79421,0.79278,1.20416,0.89467,0.4,0.429,0.30178,1.75678,2.47006,1.46821,2.23929e-05,2.23929e-05,2.23929e-05
78,42.5864,0.83139,1.11105,1.2193,0.87289,0.4,0.42936,0.3016,1.76547,2.45656,1.46256,2.17805e-05,2.17805e-05,2.17805e-05
79,43.1134,0.59823,0.60064,1.02746,0.87289,0.4,0.42936,0.3016,1.76547,2.45656,1.46256,2.11444e-05,2.11444e-05,2.11444e-05
80,43.6716,0.62257,0.5788,0.99336,0.87289,0.4,0.42936,0.3016,1.76547,2.45656,1.46256,2.04848e-05,2.04848e-05,2.04848e-05
81,44.2609,0.63502,0.76949,1.18536,0.86209,0.4,0.43035,0.30039,1.76878,2.46144,1.45317,1.98016e-05,1.98016e-05,1.98016e-05
82,44.8683,0.55608,0.49632,1.05106,0.86209,0.4,0.43035,0.30039,1.76878,2.46144,1.45317,1.90949e-05,1.90949e-05,1.90949e-05
83,45.4442,0.75231,0.89747,1.18072,0.86209,0.4,0.43035,0.30039,1.76878,2.46144,1.45317,1.83646e-05,1.83646e-05,1.83646e-05
84,46.0043,0.45982,0.53774,0.98835,0.84787,0.4,0.43248,0.2978,1.79734,2.49236,1.46657,1.76107e-05,1.76107e-05,1.76107e-05
