ts_iso,t_epoch,power_w,hardware,model_name,phase
2026-01-15T14:13:43.490141,1768482823.490,108.000,GPU_ORT_CUDA_DISABLE,yolo11s_512_fp16,run
2026-01-15T14:13:46.334884,1768482826.335,117.000,GPU_ORT_CUDA_DISABLE,yolo11s_512_fp16,run
2026-01-15T14:13:48.614053,1768482828.614,119.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp32,run
2026-01-15T14:13:50.332520,1768482830.333,135.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp32,run
2026-01-15T14:13:52.061883,1768482832.062,121.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp32,run
2026-01-15T14:13:53.773576,1768482833.774,117.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp32,run
2026-01-15T14:13:55.497452,1768482835.497,117.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp32,run
2026-01-15T14:13:57.167679,1768482837.168,137.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp32,run
2026-01-15T14:13:58.926430,1768482838.926,143.000,GPU_ORT_CUDA_DISABLE,yolo11s_416_fp32,run
2026-01-15T14:14:00.644216,1768482840.644,142.000,GPU_ORT_CUDA_DISABLE,yolo11s_416_fp32,run
2026-01-15T14:14:02.316329,1768482842.316,129.000,GPU_ORT_CUDA_DISABLE,yolo11s_416_fp32,run
2026-01-15T14:14:04.836430,1768482844.836,118.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp16,run
2026-01-15T14:14:07.280887,1768482847.281,106.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp16,run
2026-01-15T14:14:09.779806,1768482849.780,109.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp16,run
2026-01-15T14:14:12.275509,1768482852.276,122.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp16,run
2026-01-15T14:14:14.770962,1768482854.771,107.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp16,run
2026-01-15T14:14:17.275023,1768482857.275,112.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp16,run
2026-01-15T14:14:19.757094,1768482859.757,129.000,GPU_ORT_CUDA_DISABLE,yolo11s_416_fp16,run
2026-01-15T14:14:22.236382,1768482862.236,109.000,GPU_ORT_CUDA_DISABLE,yolo11s_416_fp16,run
2026-01-15T14:14:24.725500,1768482864.725,112.000,GPU_ORT_CUDA_DISABLE,yolo11s_416_fp16,run
2026-01-15T14:14:26.040283,1768482866.040,103.000,GPU_ORT_CUDA_ALL,yolo11s_320_fp32,run
2026-01-15T14:14:27.350967,1768482867.351,131.000,GPU_ORT_CUDA_ALL,yolo11s_320_fp32,run
2026-01-15T14:14:28.627655,1768482868.628,126.000,GPU_ORT_CUDA_ALL,yolo11s_320_fp32,run
2026-01-15T14:14:29.917254,1768482869.917,139.000,GPU_ORT_CUDA_BASIC,yolo11s_320_fp32,run
2026-01-15T14:14:31.193381,1768482871.193,139.000,GPU_ORT_CUDA_BASIC,yolo11s_320_fp32,run
2026-01-15T14:14:32.473632,1768482872.474,135.000,GPU_ORT_CUDA_BASIC,yolo11s_320_fp32,run
2026-01-15T14:14:33.745403,1768482873.745,108.000,GPU_ORT_CUDA_DISABLE,yolo11s_320_fp32,run
2026-01-15T14:14:35.025103,1768482875.025,110.000,GPU_ORT_CUDA_DISABLE,yolo11s_320_fp32,run
2026-01-15T14:14:36.279819,1768482876.280,123.000,GPU_ORT_CUDA_DISABLE,yolo11s_320_fp32,run
2026-01-15T14:14:38.223463,1768482878.223,133.000,GPU_ORT_CUDA_ALL,yolo11s_320_fp16,run
2026-01-15T14:14:40.136631,1768482880.137,128.000,GPU_ORT_CUDA_ALL,yolo11s_320_fp16,run
2026-01-15T14:14:42.110917,1768482882.111,95.000,GPU_ORT_CUDA_ALL,yolo11s_320_fp16,run
2026-01-15T14:14:44.083957,1768482884.084,110.000,GPU_ORT_CUDA_BASIC,yolo11s_320_fp16,run
